filter_name,train_start_date,train_end_date,test_start_date,test_end_date,train_count,train_share,train_reversal_rate,train_forward_14d_median,train_forward_14d_mean,test_count,test_share,test_reversal_rate,test_forward_14d_median,test_forward_14d_mean,train_score
trade_count_top_half,2023-03-15,2025-02-28,2025-03-01,2026-02-22,2167,0.5001153934918071,0.6146746654360867,-0.058412520961431014,-0.0020321181714386943,1263,0.5353963543874523,0.716547901821061,-0.1365999336356598,0.020701808161066506,0.017956491557956637
quote_vol_top_half,2023-03-15,2025-02-28,2025-03-01,2026-02-22,2167,0.5001153934918071,0.6192893401015228,-0.056476158268515375,-0.006339928867451015,907,0.3844849512505299,0.7155457552370452,-0.14675535089963332,0.007758027583500414,0.017491577289717893
younger_than_median,2023-03-15,2025-02-28,2025-03-01,2026-02-22,2169,0.5005769674590353,0.6090364223144306,-0.053790654629244816,-0.005939901886575063,1862,0.7893175074183977,0.6600429645542427,-0.09534919946488468,0.05786255034292046,0.016399135648565058
ret_7d_top_half,2023-03-15,2025-02-28,2025-03-01,2026-02-22,2167,0.5001153934918071,0.5985233041070604,-0.053772976459206645,0.007386837527818577,1961,0.8312844425604069,0.6823049464558899,-0.1092951991828397,0.026390239372793417,0.016095903638954773
quote_vol_top_half & trade_count_top_half,2023-03-15,2025-02-28,2025-03-01,2026-02-22,1959,0.45211170090006925,0.6145992853496682,-0.056883891566465006,-0.0042779802018015935,885,0.3751589656634167,0.7163841807909604,-0.14828861287569928,0.007743844144921431,0.015806186348032283
repeat_entry,2023-03-15,2025-02-28,2025-03-01,2026-02-22,2789,0.6436648972997923,0.5919684474722122,-0.03618433112145758,0.0010456212978114197,1288,0.5459940652818991,0.656055900621118,-0.07780198108868247,0.0433681004224633,0.013787290718099806
ret_7d_top_half & trade_count_top_half,2023-03-15,2025-02-28,2025-03-01,2026-02-22,1433,0.33071774751903993,0.6085136078157711,-0.06512459313803953,0.00476009351183333,1135,0.4811360746078847,0.720704845814978,-0.14801980198019804,0.022188208154432943,0.013106080133018803
younger_than_median & trade_count_top_half,2023-03-15,2025-02-28,2025-03-01,2026-02-22,1198,0.2764828063697207,0.6202003338898163,-0.07006903245012752,-0.008137057142813476,975,0.4133107248834252,0.7097435897435898,-0.14221763085399441,0.05313744151434358,0.012015068338436357
younger_than_median & quote_vol_top_half,2023-03-15,2025-02-28,2025-03-01,2026-02-22,1115,0.2573274867297484,0.6251121076233184,-0.07271121577862816,-0.015973729434188243,655,0.27766002543450613,0.7114503816793893,-0.16166678599556095,0.04715008454508809,0.011696219108632316
ret_7d_top_half & quote_vol_top_half,2023-03-15,2025-02-28,2025-03-01,2026-02-22,1354,0.3124855758135241,0.6026587887740029,-0.06205557525848576,0.00563767858218133,807,0.3420941076727427,0.7286245353159851,-0.16365253483545794,0.0011166638308553467,0.011686441128761684
ret_7d_top_half & younger_than_median,2023-03-15,2025-02-28,2025-03-01,2026-02-22,1251,0.28871451650126934,0.6131095123900879,-0.06510101882231045,-0.005411783800204956,1591,0.6744383213225943,0.6700188560653677,-0.10720224485553931,0.05024485990182712,0.011523766775147038
trade_count_top_half & repeat_entry,2023-03-15,2025-02-28,2025-03-01,2026-02-22,1385,0.31963997230556196,0.6129963898916968,-0.05478393004718618,0.0027444159707968128,652,0.2763883001271725,0.7131901840490797,-0.12841972335639656,0.009659837497943064,0.010734261853233572
quote_vol_top_half & repeat_entry,2023-03-15,2025-02-28,2025-03-01,2026-02-22,1397,0.3224094161089315,0.6184681460272011,-0.053492425258077514,-0.0001517138107791587,450,0.1907587961000424,0.7066666666666667,-0.13599927525846722,-0.034508380507866164,0.010666387127389562
younger_than_median & repeat_entry,2023-03-15,2025-02-28,2025-03-01,2026-02-22,1406,0.3244864989614586,0.60099573257468,-0.04964171635751985,-0.0018076489356536349,1069,0.45315811784654514,0.6520112254443405,-0.08868335146898798,0.06173831675365223,0.009680879372745045
ret_7d_top_half & repeat_entry,2023-03-15,2025-02-28,2025-03-01,2026-02-22,1320,0.3046388183706439,0.5984848484848485,-0.051505925798852936,0.00890351632515333,1051,0.44552776600254346,0.6717411988582302,-0.09239049185229486,0.029260291751352054,0.009390648830162433
ret_7d_top_quartile,2023-03-15,2025-02-28,2025-03-01,2026-02-22,1084,0.2501730902377106,0.5894833948339483,-0.05908359166067284,0.016766568767417923,1278,0.5417549809241204,0.690923317683881,-0.1310032519200165,0.0269636346570442,0.00871322757239094
ret_7d_top_half & ret_7d_top_quartile,2023-03-15,2025-02-28,2025-03-01,2026-02-22,1084,0.2501730902377106,0.5894833948339483,-0.05908359166067284,0.016766568767417923,1278,0.5417549809241204,0.690923317683881,-0.1310032519200165,0.0269636346570442,0.00871322757239094
ret_7d_top_quartile & trade_count_top_half,2023-03-15,2025-02-28,2025-03-01,2026-02-22,850,0.19616893607200553,0.5823529411764706,-0.06169461124639991,0.02134423826057871,842,0.3569309029249682,0.7185273159144893,-0.16392260186183677,0.03767034905902181,0.007047965051227316
ret_7d_top_quartile & quote_vol_top_half,2023-03-15,2025-02-28,2025-03-01,2026-02-22,797,0.18393722594045697,0.5746549560853199,-0.055890146952541575,0.022338792656027413,610,0.2585841458245019,0.7213114754098361,-0.17785948727118817,0.027789265272267993,0.005907613040448659
ret_7d_top_quartile & younger_than_median,2023-03-15,2025-02-28,2025-03-01,2026-02-22,639,0.14747288252942534,0.6025039123630673,-0.06520164211543111,-0.001261203622929101,1061,0.44976685036032216,0.6776625824693685,-0.12233445566778889,0.054420538874029624,0.005793360769545576
ret_7d_top_quartile & repeat_entry,2023-03-15,2025-02-28,2025-03-01,2026-02-22,634,0.14631894761135472,0.5741324921135647,-0.047431363764470325,0.03351469406353564,663,0.2810512929207291,0.6757164404223228,-0.11693221712125301,0.01654940867674899,0.003984541059373921
